year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
2000.0,140.0,552.0,552.0,53.0,2.0,2.0
2001.0,,1400.0,1400.0,56.0,1.8,1.8
2001.0,184.0,1000.0,1000.0,115.0,,
2001.0,42.0,2000.0,2000.0,71.8,1.75,1.56
2001.0,25.0,800.0,800.0,130.0,1.65,1.65
2001.0,15.2,833.0,833.0,65.0,1.7,1.7
2001.0,15.5,1000.0,1000.0,64.0,1.7,1.7
2001.0,15.5,1224.0,1224.0,,1.7,1.7
2001.0,15.5,1250.0,1250.0,75.0,1.7,1.7
2001.0,186.0,750.0,750.0,42.0,1.65,1.65
2001.0,33.0,733.0,733.0,23.0,1.8,1.8
2002.0,55.0,2400.0,2400.0,59.8,1.43,1.35
2002.0,55.0,2200.0,2200.0,57.1,1.435,1.36
2002.0,55.0,2000.0,2000.0,58.0,1.461,1.353
2002.0,55.0,1600.0,1600.0,30.0,1.274,1.187
2002.0,37.2,1800.0,1800.0,62.0,1.5,1.5
2002.0,130.0,1000.0,1000.0,125.0,1.5,1.5
2002.0,130.0,1150.0,1150.0,125.0,1.5,1.5
2002.0,221.0,1000.0,1000.0,130.0,1.5,1.5
2002.0,55.0,1700.0,1700.0,63.5,1.75,
2003.0,55.0,2400.0,2400.0,40.0,1.265,1.17
2003.0,55.0,2800.0,2800.0,74.0,1.5,
2003.0,54.3,2167.0,2167.0,74.3,1.5,1.5
2003.0,106.0,2000.0,2000.0,89.0,1.5,1.4
2003.0,105.9,1800.0,1800.0,89.0,1.55,1.55
2004.0,130.0,1300.0,1300.0,125.0,1.5,1.5
2004.0,125.0,3600.0,3600.0,115.0,1.425,1.2
2004.0,125.0,2260.0,2260.0,73.0,1.4,1.25
2004.0,105.9,2600.0,2600.0,89.0,1.5,1.5
2004.0,125.0,2260.0,2260.0,73.0,1.4,1.25
2004.0,125.0,2530.0,2530.0,73.0,1.4,1.25
2004.0,125.0,2400.0,2400.0,84.0,1.4,1.25
2004.0,276.0,1900.0,1900.0,100.0,1.2,1.2
2004.0,125.0,2530.0,2530.0,84.0,1.4,1.25
